Taxonomy,Res,Com,Ind
CR/LDUAL,0.40,0.29,0.20
CR/LDUAL/FC,0.40,0.29,0.19
CR/LFINF(CLBRH),0.40,0.29,0.20
CR/LFINF(CLBRH)/FC,0.40,0.29,0.19
CR/LFINF(CBH),0.45,0.33,0.22
CR/LWAL,0.40,0.29,0.20
CR/LWAL/FC,0.40,0.29,0.19
MR+CLBRH/LWAL,0.03,0.04,0.05
MR+CLBRH/LWAL/FC,0.03,0.03,0.05
MR+CLBRH/LWAL/RWO/FW,0.03,0.03,0.03
MR+CLBRH/LWAL/RWO/FM,0.03,0.03,0.03
MR+CLBRH/LWAL/RWO/FC,0.03,0.03,0.03
MR+CBH/LWAL,0.04,0.04,0.06
S+SR/LFBR,0.29,0.10,0.04
S+SR/LFINF,0.29,0.10,0.04
S/LWAL,0.29,0.10,0.04
W/LFINF,0.08,0.06,0.03
W/LWAL,0.08,0.06,0.03