COUNTRY,TOTAL_REPL_COST_USD,BUILDINGS,BUILT_AREA,TOTAL_REPL_EC_TON,TOTAL_REPL_EC_STRUCTURAL_TON,TOTAL_REPL_EC_NONSTRUCTURAL_TON,AAEC_TOTAL_TON,AAECR
Poland,1.64829E+12,7024701.5,1346311558,532912830.3,347017227.6,185895602.7,1578.185634,2.96E-06
Belarus,2.14404E+11,1716014.1,235782302.2,91992975.52,56948988.43,35043987.09,21.65539361,2.35E-07
Sweden,1.50366E+12,2378714.1,630953428.9,221951538.1,135177185.5,86774352.64,703.845988,3.17E-06
Norway,1.00197E+12,1761355,408271371.6,128523239.8,76459626.9,52063612.88,1001.34072,7.79E-06
Luxembourg,93532957970,130883.8,42885626.5,17882099.05,13100909.98,4781189.069,255.2459936,1.43E-05
Cyprus,1.03132E+11,286612.435,83363070.15,31145258.11,18284067,12861191.11,78220.52515,0.002511475
Ukraine,1.01666E+12,12653671.8,1075221371,440744609.7,313219629.8,127524979.9,18691.46515,4.24E-05
France,8.49279E+12,15346834.08,4104610743,1603317292,1009473069,593844223.2,65943.69973,4.11E-05
Moldova,49426006643,812611.9763,94856327.44,37468258.2,23598780.47,13869477.73,15413.77244,0.000411382
Bosnia and Herzegovina,71813295616,1098957.1,139108454.1,54519433.84,34086332.45,20433101.39,23552.6264,0.000432004
Belgium,1.47947E+12,3846458.474,699361821.7,274192011.1,193478463.5,80713547.58,15153.78715,5.53E-05
Gibraltar,3972588708,5504.4345,1533862.581,607246.8131,398287.8781,208958.935,33.35266067,5.49E-05
Turkey,1.38372E+12,9322482,3310137484,1291949782,731666405.4,560283376.8,3355051.357,0.00259689
Netherlands,2.53788E+12,5408681.673,1252236204,510160617.7,357296769.8,152863847.8,16531.84113,3.24E-05
Estonia,72866127803,234936.7,63452223.94,23594956.8,14476556.9,9118399.906,94.10786895,3.99E-06
Spain,4.26243E+12,10012583.39,2751608783,1077085403,702764419.9,374320982.8,149857.8833,0.000139133
Montenegro,17662553291,164941.1089,27036488.24,10711695.3,6308768.4,4402926.896,7976.379344,0.000744642
Serbia,2.59741E+11,2340841.3,302180675.4,118007662.4,81981650.85,36026011.55,47791.43134,0.000404986
Croatia,1.79571E+11,1670005.7,202131005.3,79859243.84,50219435.59,29639808.24,55336.14863,0.000692921
Latvia,1.08573E+11,383277.7,94281858.87,34643995.42,20418231.32,14225764.1,92.78790116,2.68E-06
Germany,1.21457E+13,19934835.7,4914811152,1716484554,983604259.4,732880294.6,69466.91429,4.05E-05
Albania,34623758538,643615.8,71290679.8,28155122.84,16898486.99,11256635.85,69781.81703,0.002478477
Slovakia,3.28241E+11,996412.5,251352272.9,97293165.24,63387038.59,33906126.65,7301.069106,7.50E-05
Portugal,8.0507E+11,3628923.949,691138527.6,264067738.8,159904863.5,104162875.3,48810.65442,0.000184841
Ireland,5.799E+11,1928806,265443893.2,104486740.5,71774944.78,32711795.77,48.10392536,4.60E-07
Switzerland,3.59277E+12,1901945.3,802133081.2,292232555,167695402.8,124537152.2,25032.1139,8.57E-05
Liechtenstein,12776084157,14174,3817082.4,1548731.441,985499.2644,563232.1761,99.35727547,6.42E-05
Lithuania,1.83407E+11,599225.5,157347293.8,57912407.34,36227081.87,21685325.46,64.5865242,1.12E-06
Kosovo,22839957951,292269.1,43877939.1,17194514.37,10480176.87,6714337.502,8684.510163,0.000505074
United Kingdom,6.32635E+12,15475177.8,2820649919,1129998456,791604024.3,338394431.8,5490.016677,4.86E-06
Slovenia,95809938957,512068.9,87373507.21,33853530.48,19802804.15,14050726.33,19328.88434,0.000570956
Hungary,6.02444E+11,2824081.4,480271570,191564525.7,131387807.6,60176718.07,21024.59831,0.000109752
Monaco,7818553150,10128.83248,2843291.762,1161774.444,777963.8987,383810.5458,304.8322461,0.000262385
Bulgaria,3.31298E+11,2193276.7,426696587.7,161774059.1,100025088.5,61748970.59,106382.5507,0.0006576
Romania,3.8453E+11,5507044.3,690897233.2,259071730,150747600.9,108324129.1,590476.9678,0.002279203
Italy,6.00111E+12,12187747.04,3813589992,1496566472,950835730.7,545730741.5,1091911.565,0.000729611
Denmark,9.9935E+11,1686764,425455292.9,163166650.3,101239132.3,61927517.91,219.9565599,1.35E-06
North Macedonia,46901422801,493813.8,71888557.49,27799440.34,16108478.34,11690962,24699.97735,0.000888506
Isle of Man,9399637330,19909.2,4916820.8,2117331.782,1628783.884,488547.8978,0.417138071,1.97E-07
Andorra,9499224274,18074.9,4752242.2,1934607.646,1353150.522,581457.1248,50.62522521,2.62E-05
Austria,1.23905E+12,2315637.9,590319087.7,231567142.9,148659029,82908113.89,49670.97328,0.000214499
Finland,6.91116E+11,1338514,290884340.9,104401879.2,63672252.27,40729626.94,98.45905348,9.43E-07
Malta,34488914336,117256.3,30815590.05,12282335.31,8389941.888,3892393.422,1158.844555,9.44E-05
Greece,6.94352E+11,3352080.4,608233784.9,234599917.8,129010755.2,105589162.6,373730.5088,0.001593055
Czechia,7.02719E+11,2373235.6,504629922.3,197547367.1,120628626.9,76918740.2,1208.427596,6.12E-06
Iceland,70896110996,74068.2,24139007.92,9524062.355,5412624.573,4111437.782,2341.879456,0.000245891